state,county,crop,practice,product,product_code,coverage_level,units,fsa,net_rev
Arkansas,Lawrence,Soybeans,Irrigated,YP,1,80%,Enterprise,PLC,-57.61050555
Arkansas,Lawrence,Soybeans,Irrigated,YP,1,85%,Enterprise,PLC,-59.31598052
Arkansas,Lawrence,Soybeans,Irrigated,YP,1,No Insurance,Enterprise,N/A,-90.29781302
Arkansas,Lawrence,Soybeans,Irrigated,YP,1,50%,Enterprise,N/A,-83.09445789
Arkansas,Lawrence,Soybeans,Irrigated,YP,1,55%,Enterprise,N/A,-80.01824046
Arkansas,Lawrence,Soybeans,Irrigated,YP,1,60%,Enterprise,N/A,-76.12360552
Arkansas,Lawrence,Soybeans,Irrigated,YP,1,65%,Enterprise,N/A,-71.37720932
Arkansas,Lawrence,Soybeans,Irrigated,YP,1,70%,Enterprise,N/A,-65.77301468
Arkansas,Lawrence,Soybeans,Irrigated,YP,1,75%,Enterprise,N/A,-60.42006122
Arkansas,Lawrence,Soybeans,Irrigated,YP,1,80%,Enterprise,N/A,-57.61050555
Arkansas,Lawrence,Soybeans,Irrigated,YP,1,85%,Enterprise,N/A,-59.31598052
Arkansas,Lawrence,Soybeans,Irrigated,YP,1,No Insurance,Enterprise,ARC-CO,-40.57267135
Arkansas,Lawrence,Soybeans,Irrigated,YP,1,50%,Enterprise,ARC-CO,-33.36931623
Arkansas,Lawrence,Soybeans,Irrigated,YP,1,55%,Enterprise,ARC-CO,-30.29309879
Arkansas,Lawrence,Soybeans,Irrigated,YP,1,60%,Enterprise,ARC-CO,-26.39846386
Arkansas,Lawrence,Soybeans,Irrigated,YP,1,65%,Enterprise,ARC-CO,-21.65206766
Arkansas,Lawrence,Soybeans,Irrigated,YP,1,70%,Enterprise,ARC-CO,-16.04787302
Arkansas,Lawrence,Soybeans,Irrigated,YP,1,75%,Enterprise,ARC-CO,-10.69491955
Arkansas,Lawrence,Soybeans,Irrigated,YP,1,80%,Enterprise,ARC-CO,-7.885363883
Arkansas,Lawrence,Soybeans,Irrigated,YP,1,85%,Enterprise,ARC-CO,-9.590838854
Arkansas,Lawrence,Soybeans,Irrigated,RP,2,No Insurance,Basic,PLC,-90.29781302
Arkansas,Lawrence,Soybeans,Irrigated,RP,2,50%,Basic,PLC,-84.46629487
Arkansas,Lawrence,Soybeans,Irrigated,RP,2,55%,Basic,PLC,-82.43178154
Arkansas,Lawrence,Soybeans,Irrigated,RP,2,60%,Basic,PLC,-79.40518816
Arkansas,Lawrence,Soybeans,Irrigated,RP,2,65%,Basic,PLC,-77.08875314
Arkansas,Lawrence,Soybeans,Irrigated,RP,2,70%,Basic,PLC,-73.08949634
Arkansas,Lawrence,Soybeans,Irrigated,RP,2,75%,Basic,PLC,-70.20823909
Arkansas,Lawrence,Soybeans,Irrigated,RP,2,80%,Basic,PLC,-69.16556793
Arkansas,Lawrence,Soybeans,Irrigated,RP,2,85%,Basic,PLC,-71.14900383
